Baader SLOAN/SDSS r' Filter,
λ (nm),OD
378,6.721842303
379,6.792098958
380,6.777743193
381,6.770554850
382,6.732877789
383,6.663814630
384,6.728071788
385,6.776467785
386,6.771174764
387,6.723466012
388,6.710233066
389,6.736960685
390,6.748537038
391,6.778882938
392,6.776372326
393,6.726546781
394,6.876334657
395,6.754640477
396,6.788354851
397,6.832811470
398,6.797393930
399,6.739138001
400,6.696763025
401,6.422291236
402,5.756521537
403,5.373543033
404,5.341309649
405,5.681696553
406,6.377501727
407,6.567190791
408,6.562727183
409,6.498181611
410,6.350570909
411,6.196310546
412,5.960343008
413,5.665829211
414,5.293101646
415,5.073897371
416,5.091517573
417,5.301205044
418,5.575078280
419,5.644558052
420,5.532817639
421,5.334266783
422,5.193746496
423,5.189373425
424,5.300605895
425,5.438987303
426,5.516199079
427,5.443543316
428,5.306441358
429,5.164960992
430,5.040470436
431,4.883859263
432,4.649474889
433,4.488633070
434,4.535682903
435,4.818451567
436,5.262843776
437,5.621441170
438,5.839546419
439,5.954520900
440,5.958388069
441,5.895110706
442,5.813487862
443,5.727227174
444,5.691687474
445,5.703773026
446,5.748735698
447,5.801094444
448,5.820784179
449,5.825935319
450,5.793530015
451,5.720527054
452,5.566180587
453,5.357878098
454,5.096240324
455,4.827273024
456,4.575136839
457,4.394496885
458,4.307922514
459,4.320275954
460,4.394803918
461,4.479406140
462,4.531337287
463,4.545066549
464,4.542546287
465,4.571911064
466,4.659609974
467,4.819958018
468,5.011888581
469,5.200017134
470,5.350991466
471,5.457432320
472,5.535109144
473,5.576289935
474,5.582370550
475,5.560957014
476,5.514146618
477,5.447872530
478,5.359695139
479,5.258661619
480,5.151513578
481,5.055083887
482,4.968096612
483,4.896730056
484,4.834250600
485,4.775458023
486,4.706622663
487,4.622551132
488,4.543500395
489,4.491663388
490,4.487252302
491,4.531466257
492,4.600791985
493,4.681502224
494,4.748071703
495,4.795593456
496,4.819178750
497,4.818594982
498,4.802399965
499,4.772441196
500,4.736638080
501,4.699115060
502,4.668207791
503,4.640944000
504,4.605391652
505,4.568553541
506,4.522917538
507,4.469959736
508,4.424172041
509,4.389218181
510,4.371228826
511,4.365646881
512,4.365986968
513,4.375313056
514,4.388678286
515,4.399957046
516,4.406422025
517,4.409427579
518,4.406268004
519,4.401529522
520,4.400821809
521,4.403138770
522,4.412679502
523,4.426642623
524,4.443092686
525,4.458130350
526,4.466577946
527,4.468220388
528,4.465281828
529,4.449889981
530,4.427878330
531,4.397011614
532,4.356085880
533,4.306870635
534,4.247622433
535,4.178525291
536,4.100280936
537,4.012431681
538,3.913958233
539,3.806732758
540,3.687754611
541,3.558142280
542,3.419294060
543,3.268891642
544,3.108434631
545,2.936768819
546,2.752500359
547,2.558650856
548,2.352433471
549,2.135407029
550,1.909645666
551,1.672856636
552,1.432523543
553,1.192249868
554,0.961003555
555,0.753370580
556,0.577741861
557,0.440257625
558,0.341716662
559,0.273438530
560,0.227149696
561,0.193705729
562,0.168580272
563,0.148110091
564,0.132224991
565,0.119587384
566,0.111059759
567,0.104831100
568,0.100744220
569,0.097406230
570,0.094153907
571,0.089696666
572,0.083817112
573,0.076590366
574,0.069085992
575,0.060168562
576,0.051846722
577,0.044499191
578,0.038103665
579,0.033306873
580,0.029395074
581,0.026123469
582,0.023489887
583,0.020975480
584,0.017957383
585,0.015301110
586,0.012572093
587,0.010118914
588,0.008320901
589,0.006846224
590,0.005999814
591,0.005322531
592,0.005538532
593,0.005379087
594,0.005815115
595,0.005672488
